Date,Country,cumul_cases,cumul_deaths
24/04/2009,Mexico,18,0
24/04/2009,United States of America,7,0
26/04/2009,Mexico,18,0
26/04/2009,United States of America,20,0
27/04/2009,Canada,6,0
27/04/2009,Mexico,26,7
27/04/2009,Spain,1,0
27/04/2009,United States of America,40,0
28/04/2009,Canada,6,0
28/04/2009,Israel,2,0
28/04/2009,Mexico,26,7
28/04/2009,New Zealand,3,0
28/04/2009,Spain,2,0
28/04/2009,United Kingdom,2,0
28/04/2009,United States of America,64,0
29/04/2009,Austria,1,0
29/04/2009,Canada,13,0
29/04/2009,Germany,3,0
29/04/2009,Israel,2,0
29/04/2009,Mexico,26,7
29/04/2009,New Zealand,3,0
29/04/2009,Spain,5,0
29/04/2009,United Kingdom,5,0
29/04/2009,United States of America,91,1
30/04/2009,Austria,1,0
30/04/2009,Canada,19,0
30/04/2009,Germany,3,0
30/04/2009,Israel,2,0
30/04/2009,Mexico,97,7
30/04/2009,Netherlands,1,0
30/04/2009,New Zealand,3,0
30/04/2009,Spain,13,0
30/04/2009,Switzerland,1,0
30/04/2009,United Kingdom,8,0
30/04/2009,United States of America,109,1
01/05/2009,Austria,1,0
01/05/2009,Canada,34,0
01/05/2009,Denmark,1,0
01/05/2009,Germany,4,0
01/05/2009,Hong Kong Special Administrative Region,1,0
01/05/2009,Israel,2,0
01/05/2009,Mexico,156,9
01/05/2009,Netherlands,1,0
01/05/2009,New Zealand,4,0
01/05/2009,Spain,13,0
01/05/2009,Switzerland,1,0
01/05/2009,United Kingdom,8,0
01/05/2009,United States of America,141,1
02/05/2009,Austria,1,0
02/05/2009,Canada,51,0
02/05/2009,Costa Rica,1,0
02/05/2009,Denmark,1,0
02/05/2009,France,2,0
02/05/2009,Germany,6,0
02/05/2009,Hong Kong Special Administrative Region,1,0
02/05/2009,Israel,3,0
02/05/2009,Mexico,397,16
02/05/2009,Netherlands,1,0
02/05/2009,New Zealand,4,0
02/05/2009,Republic of Korea,1,0
02/05/2009,Spain,13,0
02/05/2009,Switzerland,1,0
02/05/2009,United Kingdom,15,0
02/05/2009,United States of America,160,1
03/05/2009,Austria,1,0
03/05/2009,Canada,85,0
03/05/2009,Costa Rica,1,0
03/05/2009,Denmark,1,0
03/05/2009,France,2,0
03/05/2009,Germany,8,0
03/05/2009,Hong Kong Special Administrative Region,1,0
03/05/2009,Ireland,1,0
03/05/2009,Israel,3,0
03/05/2009,Italy,1,0
03/05/2009,Mexico,506,19
03/05/2009,Netherlands,1,0
03/05/2009,New Zealand,4,0
03/05/2009,Republic of Korea,1,0
03/05/2009,Spain,40,0
03/05/2009,Switzerland,1,0
03/05/2009,United Kingdom,15,0
03/05/2009,United States of America,226,1
04/05/2009,Austria,1,0
04/05/2009,Canada,101,0
04/05/2009,Colombia,1,0
04/05/2009,Costa Rica,1,0
04/05/2009,Denmark,1,0
04/05/2009,El Salvador,2,0
04/05/2009,France,4,0
04/05/2009,Germany,8,0
04/05/2009,Hong Kong Special Administrative Region,1,0
04/05/2009,Ireland,1,0
04/05/2009,Israel,4,0
04/05/2009,Italy,2,0
04/05/2009,Mexico,590,25
04/05/2009,Netherlands,1,0
04/05/2009,New Zealand,6,0
04/05/2009,Portugal,1,0
04/05/2009,Republic of Korea,1,0
04/05/2009,Spain,54,0
04/05/2009,Switzerland,1,0
04/05/2009,United Kingdom,18,0
04/05/2009,United States of America,286,1
05/05/2009,Austria,1,0
05/05/2009,Canada,140,0
05/05/2009,Colombia,1,0
05/05/2009,Costa Rica,1,0
05/05/2009,Denmark,1,0
05/05/2009,El Salvador,2,0
05/05/2009,France,4,0
05/05/2009,Germany,9,0
05/05/2009,Hong Kong Special Administrative Region,1,0
05/05/2009,Ireland,1,0
05/05/2009,Israel,4,0
05/05/2009,Italy,5,0
05/05/2009,Mexico,822,29
05/05/2009,Netherlands,1,0
05/05/2009,New Zealand,6,0
05/05/2009,Portugal,1,0
05/05/2009,Republic of Korea,2,0
05/05/2009,Spain,57,0
05/05/2009,Switzerland,1,0
05/05/2009,United Kingdom,27,0
05/05/2009,United States of America,403,1
06/05/2009,Austria,1,0
06/05/2009,Canada,165,0
06/05/2009,Colombia,1,0
06/05/2009,Costa Rica,1,0
06/05/2009,Denmark,1,0
06/05/2009,El Salvador,2,0
06/05/2009,France,5,0
06/05/2009,Germany,9,0
06/05/2009,Guatemala,1,0
06/05/2009,Hong Kong Special Administrative Region,1,0
06/05/2009,Ireland,1,0
06/05/2009,Israel,4,0
06/05/2009,Italy,5,0
06/05/2009,Mexico,942,29
06/05/2009,Netherlands,1,0
06/05/2009,New Zealand,6,0
06/05/2009,Portugal,1,0
06/05/2009,Republic of Korea,2,0
06/05/2009,Spain,73,0
06/05/2009,Sweden,1,0
06/05/2009,Switzerland,1,0
06/05/2009,United Kingdom,28,0
06/05/2009,United States of America,642,2
07/05/2009,Austria,1,0
07/05/2009,Canada,201,0
07/05/2009,Colombia,1,0
07/05/2009,Costa Rica,1,0
07/05/2009,Denmark,1,0
07/05/2009,El Salvador,2,0
07/05/2009,France,5,0
07/05/2009,Germany,10,0
07/05/2009,Guatemala,1,0
07/05/2009,Hong Kong Special Administrative Region,1,0
07/05/2009,Ireland,1,0
07/05/2009,Israel,6,0
07/05/2009,Italy,5,0
07/05/2009,Mexico,1112,42
07/05/2009,Netherlands,2,0
07/05/2009,New Zealand,5,0
07/05/2009,Poland,1,0
07/05/2009,Portugal,1,0
07/05/2009,Republic of Korea,3,0
07/05/2009,Spain,81,0
07/05/2009,Sweden,1,0
07/05/2009,Switzerland,1,0
07/05/2009,United Kingdom,32,0
07/05/2009,United States of America,896,2
08/05/2009,Austria,1,0
08/05/2009,Brazil,4,0
08/05/2009,Canada,214,0
08/05/2009,Colombia,1,0
08/05/2009,Costa Rica,1,0
08/05/2009,Denmark,1,0
08/05/2009,El Salvador,2,0
08/05/2009,France,12,0
08/05/2009,Germany,11,0
08/05/2009,Guatemala,1,0
08/05/2009,Hong Kong Special Administrative Region,1,0
08/05/2009,Ireland,1,0
08/05/2009,Israel,7,0
08/05/2009,Italy,6,0
08/05/2009,Mexico,1204,44
08/05/2009,Netherlands,3,0
08/05/2009,New Zealand,5,0
08/05/2009,Poland,1,0
08/05/2009,Portugal,1,0
08/05/2009,Republic of Korea,3,0
08/05/2009,Spain,88,0
08/05/2009,Sweden,1,0
08/05/2009,Switzerland,1,0
08/05/2009,United Kingdom,34,0
08/05/2009,United States of America,896,2
09/05/2009,Argentina,1,0
09/05/2009,Australia,1,0
09/05/2009,Austria,1,0
09/05/2009,Brazil,6,0
09/05/2009,Canada,242,1
09/05/2009,Colombia,1,0
09/05/2009,Costa Rica,1,0
09/05/2009,Denmark,1,0
09/05/2009,El Salvador,2,0
09/05/2009,France,12,0
09/05/2009,Germany,11,0
09/05/2009,Guatemala,1,0
09/05/2009,Hong Kong Special Administrative Region,1,0
09/05/2009,Ireland,1,0
09/05/2009,Israel,7,0
09/05/2009,Italy,6,0
09/05/2009,Japan,3,0
09/05/2009,Mexico,1364,45
09/05/2009,Netherlands,3,0
09/05/2009,New Zealand,5,0
09/05/2009,Panama,2,0
09/05/2009,Poland,1,0
09/05/2009,Portugal,1,0
09/05/2009,Republic of Korea,3,0
09/05/2009,Spain,88,0
09/05/2009,Sweden,1,0
09/05/2009,Switzerland,1,0
09/05/2009,United Kingdom,34,0
09/05/2009,United States of America,1639,2
10/05/2009,Argentina,1,0
10/05/2009,Australia,1,0
10/05/2009,Austria,1,0
10/05/2009,Brazil,6,0
10/05/2009,Canada,280,1
10/05/2009,Colombia,1,0
10/05/2009,Costa Rica,8,1
10/05/2009,Denmark,1,0
10/05/2009,El Salvador,2,0
10/05/2009,France,12,0
10/05/2009,Germany,11,0
10/05/2009,Guatemala,1,0
10/05/2009,Hong Kong Special Administrative Region,1,0
10/05/2009,Ireland,1,0
10/05/2009,Israel,7,0
10/05/2009,Italy,9,0
10/05/2009,Japan,4,0
10/05/2009,Mexico,1626,45
10/05/2009,Netherlands,3,0
10/05/2009,New Zealand,7,0
10/05/2009,Panama,3,0
10/05/2009,Poland,1,0
10/05/2009,Portugal,1,0
10/05/2009,Republic of Korea,3,0
10/05/2009,Spain,93,0
10/05/2009,Sweden,1,0
10/05/2009,Switzerland,1,0
10/05/2009,United Kingdom,39,0
10/05/2009,United States of America,2254,2
11/05/2009,Argentina,1,0
11/05/2009,Australia,1,0
11/05/2009,Austria,1,0
11/05/2009,Brazil,8,0
11/05/2009,Canada,284,1
11/05/2009,Colombia,3,0
11/05/2009,Costa Rica,8,1
11/05/2009,Denmark,1,0
11/05/2009,El Salvador,4,0
11/05/2009,France,13,0
11/05/2009,Germany,11,0
11/05/2009,Guatemala,1,0
11/05/2009,Ireland,1,0
11/05/2009,Israel,7,0
11/05/2009,Italy,9,0
11/05/2009,Japan,4,0
11/05/2009,Mexico,1626,48
11/05/2009,Netherlands,3,0
11/05/2009,New Zealand,7,0
11/05/2009,Norway,2,0
11/05/2009,Panama,15,0
11/05/2009,Poland,1,0
11/05/2009,Portugal,1,0
11/05/2009,Republic of Korea,3,0
11/05/2009,Spain,95,0
11/05/2009,Sweden,2,0
11/05/2009,Switzerland,1,0
11/05/2009,United Kingdom,47,0
11/05/2009,United States of America,2532,3
