Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020",471.3,468.99,475.59,465.29,171.38M,-2.51%
"Mar 31, 2020",483.44,480.9,486.04,475.48,180.63M,1.57%
"Mar 30, 2020",475.98,465.75,476.12,455.03,154.64M,2.38%
"Mar 27, 2020",464.93,471.16,474.37,458.03,168.80M,-3.74%
"Mar 26, 2020",482.99,463.04,482.99,458.63,178.09M,1.60%
"Mar 25, 2020",475.4,471.44,482.53,454.59,231.45M,2.96%
"Mar 24, 2020",461.73,441.27,461.73,437.54,223.34M,8.97%
"Mar 23, 2020",423.72,411.79,437.15,410.08,238.95M,-1.91%
"Mar 20, 2020",431.98,440.1,449.08,429.69,419.26M,2.18%
"Mar 19, 2020",422.75,403.71,425.16,398.46,233.08M,4.62%
"Mar 18, 2020",404.1,410.85,415.85,398.04,220.01M,-4.75%
"Mar 17, 2020",424.26,431.65,432,401.46,248.71M,1.80%
"Mar 16, 2020",416.77,409.05,421.36,389.6,266.22M,-3.71%
"Mar 13, 2020",432.85,451.76,466.84,425.22,322.54M,0.17%
"Mar 12, 2020",432.1,460.95,463.54,428.09,316.51M,-10.75%
"Mar 11, 2020",484.16,493.37,497.66,482.19,198.84M,-0.11%
"Mar 10, 2020",484.7,498.76,513.23,482.05,254.52M,-1.21%
"Mar 09, 2020",490.66,506.95,506.95,485.73,296.75M,-7.65%
"Mar 06, 2020",531.29,540.58,543.89,528.49,174.10M,-3.85%
"Mar 05, 2020",552.54,561.42,562.26,547.81,147.20M,-0.93%
"Mar 04, 2020",557.73,550.49,561.29,547.37,144.67M,1.36%
"Mar 03, 2020",550.22,551.5,561.49,548.03,170.36M,1.48%
"Mar 02, 2020",542.17,550.95,554.32,530.14,177.16M,0.52%
"Feb 28, 2020",539.38,541.44,543.65,531.18,255.63M,-3.68%
"Feb 27, 2020",559.98,569.97,573.6,552.65,166.27M,-3.75%
"Feb 26, 2020",581.78,577.81,583.6,565.29,141.55M,-0.16%
"Feb 25, 2020",582.71,596.58,597.56,581.52,116.76M,-1.78%
"Feb 24, 2020",593.3,601.82,602.99,588.4,131.98M,-3.89%
"Feb 21, 2020",617.33,619.59,621.85,613.2,88.10M,-0.77%
"Feb 20, 2020",622.12,628.88,629.16,622.12,81.81M,-1.13%
"Feb 19, 2020",629.2,627.47,629.48,627.25,92.01M,0.60%
"Feb 18, 2020",625.43,623.1,626.68,622.76,74.58M,-0.59%
"Feb 17, 2020",629.17,630.56,632.12,627.04,48.80M,-0.01%
"Feb 14, 2020",629.23,629.14,630.55,627.49,76.94M,0.01%
"Feb 13, 2020",629.14,626.7,629.14,621.98,117.16M,0.02%
"Feb 12, 2020",629.03,624.79,629.11,624.52,93.91M,0.83%
"Feb 11, 2020",623.85,621.52,625.21,621.52,74.10M,1.09%
"Feb 10, 2020",617.1,615.03,617.1,614.06,60.44M,0.10%
"Feb 07, 2020",616.46,616.75,617.94,614.07,70.33M,-0.37%
"Feb 06, 2020",618.75,617.29,619.21,616.99,103.47M,0.87%
"Feb 05, 2020",613.41,604.27,615.63,604,94.26M,1.32%
"Feb 04, 2020",605.4,596.26,605.52,596.09,81.94M,2.20%
"Feb 03, 2020",592.36,591.43,594.52,589.4,68.75M,0.49%
"Jan 31, 2020",589.5,601.53,601.95,589.44,95.36M,-1.58%
"Jan 30, 2020",598.95,599.27,600.88,596.75,104.48M,-1.04%
"Jan 29, 2020",605.22,602.99,606.2,602.26,101.02M,0.37%
"Jan 28, 2020",602.96,601.04,603.3,596.77,76.66M,0.71%
"Jan 27, 2020",598.69,605.91,607.4,597.83,81.76M,-2.53%
"Jan 24, 2020",614.24,610.56,615.92,610.56,62.46M,1.42%
"Jan 23, 2020",605.62,610.17,610.35,605.41,68.45M,-0.97%
"Jan 22, 2020",611.56,609.9,613.18,609.09,66.66M,-0.05%
"Jan 21, 2020",611.89,610.45,611.89,607.32,57.66M,-0.38%
"Jan 20, 2020",614.23,615.07,615.6,613.39,38.12M,-0.22%
"Jan 17, 2020",615.57,613.95,616.46,613.45,63.17M,0.57%
"Jan 16, 2020",612.06,612.41,614.41,611.36,55.78M,0.08%
"Jan 15, 2020",611.56,611.99,612.69,609.62,66.75M,0.07%
"Jan 14, 2020",611.15,609.52,611.88,605.07,57.56M,0.37%
"Jan 13, 2020",608.9,610.48,611.36,606.49,55.90M,-0.25%
"Jan 10, 2020",610.43,614.15,614.17,610.42,52.22M,-0.35%
"Jan 09, 2020",612.55,614.02,615.74,612.5,71.95M,0.34%
"Jan 08, 2020",610.48,607.53,611.42,606.56,67.00M,0.13%
"Jan 07, 2020",609.71,609.83,612.19,607.89,61.03M,0.41%
"Jan 06, 2020",607.24,605.95,607.84,601.82,66.38M,-0.63%
"Jan 03, 2020",611.06,609.9,611.58,607.11,57.51M,-0.30%
"Jan 02, 2020",612.87,608.01,613.95,607.75,57.96M,1.37%
"Dec 31, 2019",604.58,603.6,607.06,603.6,18.22M,-0.21%
"Dec 30, 2019",605.83,609.77,610.61,605.83,34.03M,-0.85%
"Dec 27, 2019",611.01,611.12,612.49,609.11,44.62M,0.28%
"Dec 24, 2019",609.33,609,609.78,608.6,14.89M,0.02%
"Dec 23, 2019",609.22,608.07,609.87,607.2,40.44M,-0.01%
"Dec 20, 2019",609.26,606.29,609.38,604.52,119.92M,0.58%
"Dec 19, 2019",605.77,606.46,607.09,604.14,72.15M,-0.04%
"Dec 18, 2019",606.04,606.3,608.49,605.96,67.37M,-0.03%
"Dec 17, 2019",606.23,608.03,608.9,605.79,84.50M,-0.73%
"Dec 16, 2019",610.67,605.89,612.4,605.89,61.81M,1.30%
"Dec 13, 2019",602.86,605.91,607.58,601.5,99.52M,0.53%
"Dec 12, 2019",599.71,599.78,602.59,595.76,93.25M,0.13%
"Dec 11, 2019",598.96,599.25,600.62,596.53,53.98M,-0.16%
"Dec 10, 2019",599.93,601.14,601.14,593.77,51.50M,-0.39%
"Dec 09, 2019",602.26,602.4,604.17,601.11,44.88M,-0.01%
"Dec 06, 2019",602.3,594.04,603.03,593.75,57.01M,1.84%
"Dec 05, 2019",591.44,592.56,595.96,591.44,56.78M,0.08%
"Dec 04, 2019",590.99,583.65,591.99,583.65,67.75M,1.38%
"Dec 03, 2019",582.93,588.8,590.88,581.02,80.15M,-0.71%
"Dec 02, 2019",587.12,598.17,602.13,585.94,82.82M,-1.70%
