Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","1,946.19","2,000.23","2,000.23","1,934.14",5.71M,-2.77%
"Mar 31, 2020","2,001.60","1,989.97","2,059.59","1,975.71",8.15M,0.60%
"Mar 30, 2020","1,989.72","2,000.86","2,007.25","1,932.90",6.13M,-0.40%
"Mar 27, 2020","1,997.80","2,056.57","2,059.21","1,975.64",6.75M,-2.85%
"Mar 26, 2020","2,056.49","2,018.14","2,056.49","1,980.09",7.53M,1.91%
"Mar 25, 2020","2,017.93","2,034.92","2,186.30","1,985.06",9.98M,-0.80%
"Mar 24, 2020","2,034.30","1,881.70","2,064.91","1,881.70",10.01M,8.16%
"Mar 23, 2020","1,880.82","1,888.07","1,924.99","1,870.83",8.68M,-0.44%
"Mar 20, 2020","1,889.19","1,706.56","1,961.04","1,706.56",18.84M,10.74%
"Mar 19, 2020","1,705.90","1,632.42","1,749.73","1,632.13",11.15M,4.60%
"Mar 18, 2020","1,630.84","1,767.25","1,778.71","1,622.95",12.80M,-7.79%
"Mar 17, 2020","1,768.57","1,793.50","1,873.45","1,708.46",13.58M,-1.28%
"Mar 16, 2020","1,791.42","2,000.63","2,000.63","1,753.62",13.46M,-10.46%
"Mar 13, 2020","2,000.76","1,989.43","2,141.39","1,968.77",15.32M,0.48%
"Mar 12, 2020","1,991.22","2,302.45","2,302.45","1,980.91",16.53M,-13.65%
"Mar 11, 2020","2,305.95","2,363.34","2,431.23","2,283.66",11.51M,-2.35%
"Mar 10, 2020","2,361.41","2,378.94","2,510.78","2,351.90",13.45M,-0.78%
"Mar 09, 2020","2,379.93","2,614.45","2,614.45","2,368.87",16.42M,-9.01%
"Mar 06, 2020","2,615.56","2,720.40","2,720.40","2,590.79",9.83M,-3.87%
"Mar 05, 2020","2,720.96","2,799.21","2,830.79","2,709.85",8.60M,-2.77%
"Mar 04, 2020","2,798.52","2,810.63","2,845.36","2,787.35",8.09M,-0.39%
"Mar 03, 2020","2,809.58","2,779.53","2,881.47","2,779.53",8.77M,1.11%
"Mar 02, 2020","2,778.68","2,789.64","2,820.24","2,729.67",9.45M,-0.31%
"Feb 28, 2020","2,787.39","2,845.33","2,845.33","2,710.20",13.39M,-2.06%
"Feb 27, 2020","2,845.94","2,956.44","2,956.44","2,817.69",7.97M,-3.85%
"Feb 26, 2020","2,959.84","2,969.70","2,975.71","2,889.36",7.31M,-0.35%
"Feb 25, 2020","2,970.26","3,040.36","3,048.22","2,959.86",5.77M,-2.30%
"Feb 24, 2020","3,040.23","3,147.39","3,147.39","3,010.86",7.07M,-3.47%
"Feb 21, 2020","3,149.39","3,173.28","3,173.37","3,136.22",3.71M,-0.77%
"Feb 20, 2020","3,173.84","3,198.51","3,203.70","3,173.53",3.23M,-0.77%
"Feb 19, 2020","3,198.33","3,179.24","3,201.97","3,179.04",3.00M,0.62%
"Feb 18, 2020","3,178.62","3,208.43","3,208.77","3,165.17",3.37M,-0.98%
"Feb 17, 2020","3,210.10","3,212.80","3,223.42","3,201.67",2.28M,-0.07%
"Feb 14, 2020","3,212.48","3,195.21","3,221.30","3,191.52",2.80M,0.53%
"Feb 13, 2020","3,195.50","3,204.79","3,204.79","3,174.61",4.38M,-0.29%
"Feb 12, 2020","3,204.79","3,174.49","3,212.27","3,165.41",5.11M,0.73%
"Feb 11, 2020","3,181.44","3,119.32","3,181.74","3,119.32",4.45M,2.00%
"Feb 10, 2020","3,119.10","3,140.46","3,148.17","3,118.73",3.95M,-0.88%
"Feb 07, 2020","3,146.91","3,143.21","3,154.31","3,126.25",3.64M,0.14%
"Feb 06, 2020","3,142.59","3,125.52","3,161.68","3,118.88",5.27M,0.58%
"Feb 05, 2020","3,124.47","3,083.67","3,136.66","3,079.33",4.38M,1.32%
"Feb 04, 2020","3,083.67","3,058.73","3,086.73","3,058.42",4.00M,0.88%
"Feb 03, 2020","3,056.63","3,074.02","3,077.90","3,048.77",3.40M,-0.58%
"Jan 31, 2020","3,074.31","3,100.92","3,112.67","3,060.32",3.78M,-0.88%
"Jan 30, 2020","3,101.48","3,132.89","3,132.89","3,087.29",3.73M,-1.02%
"Jan 29, 2020","3,133.53","3,119.79","3,142.39","3,116.98",3.80M,0.45%
"Jan 28, 2020","3,119.57","3,098.34","3,128.27","3,078.55",4.11M,0.68%
"Jan 27, 2020","3,098.44","3,146.11","3,146.61","3,089.33",4.01M,-1.49%
"Jan 24, 2020","3,145.45","3,121.95","3,165.67","3,121.31",2.99M,0.75%
"Jan 23, 2020","3,121.98","3,152.23","3,159.25","3,116.61",3.00M,-1.04%
"Jan 22, 2020","3,154.70","3,158.76","3,167.67","3,137.23",3.17M,-0.12%
"Jan 21, 2020","3,158.55","3,171.78","3,172.54","3,132.62",3.00M,-0.44%
"Jan 20, 2020","3,172.35","3,173.25","3,178.92","3,164.65",1.98M,-0.01%
"Jan 17, 2020","3,172.52","3,174.89","3,194.77","3,167.97",2.89M,-0.07%
"Jan 16, 2020","3,174.86","3,172.14","3,187.83","3,155.61",3.07M,0.10%
"Jan 15, 2020","3,171.82","3,210.22","3,210.47","3,164.38",3.30M,-1.20%
"Jan 14, 2020","3,210.22","3,215.97","3,226.38","3,194.71",2.87M,-0.17%
"Jan 13, 2020","3,215.75","3,219.57","3,224.15","3,199.93",2.45M,-0.11%
"Jan 10, 2020","3,219.39","3,203.54","3,221.03","3,199.04",3.27M,0.50%
"Jan 09, 2020","3,203.32","3,195.91","3,224.23","3,195.10",3.26M,0.26%
"Jan 08, 2020","3,195.05","3,189.87","3,195.49","3,179.25",2.81M,0.17%
"Jan 07, 2020","3,189.50","3,202.49","3,220.35","3,188.89",3.77M,-0.41%
"Jan 06, 2020","3,202.74","3,214.60","3,214.92","3,179.92",2.05M,-0.45%
"Jan 03, 2020","3,217.07","3,230.48","3,231.26","3,202.44",2.57M,-0.38%
"Jan 02, 2020","3,229.37","3,187.62","3,239.10","3,187.62",2.31M,1.33%
"Dec 30, 2019","3,186.94","3,212.98","3,212.98","3,186.94",1.83M,-0.80%
"Dec 27, 2019","3,212.54","3,225.80","3,244.63","3,212.16",2.11M,-0.26%
"Dec 23, 2019","3,220.94","3,210.23","3,225.64","3,201.06",2.12M,0.33%
"Dec 20, 2019","3,210.27","3,205.74","3,242.23","3,204.17",8.75M,0.18%
"Dec 19, 2019","3,204.61","3,194.71","3,219.51","3,192.78",4.00M,0.32%
"Dec 18, 2019","3,194.52","3,207.22","3,215.85","3,192.98",3.68M,-0.39%
"Dec 17, 2019","3,207.06","3,200.58","3,218.96","3,188.22",3.84M,0.22%
"Dec 16, 2019","3,199.99","3,168.50","3,205.22","3,168.50",4.11M,1.01%
"Dec 13, 2019","3,168.06","3,166.62","3,207.76","3,157.52",5.22M,0.05%
"Dec 12, 2019","3,166.33","3,123.08","3,178.88","3,118.05",4.48M,1.38%
"Dec 11, 2019","3,123.12","3,119.53","3,136.27","3,114.59",3.62M,0.13%
"Dec 10, 2019","3,118.99","3,124.22","3,125.22","3,095.41",3.25M,-0.16%
"Dec 09, 2019","3,124.09","3,144.50","3,154.72","3,121.21",2.62M,-0.65%
"Dec 06, 2019","3,144.50","3,113.83","3,150.90","3,109.49",2.75M,0.99%
"Dec 05, 2019","3,113.72","3,112.61","3,131.12","3,112.61",3.70M,0.04%
"Dec 04, 2019","3,112.50","3,092.22","3,126.35","3,087.99",4.24M,0.64%
"Dec 03, 2019","3,092.65","3,116.38","3,132.68","3,079.49",4.64M,-0.83%
"Dec 02, 2019","3,118.52","3,140.37","3,169.12","3,113.32",3.69M,-0.68%
