Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","2,839.42","2,836.54","2,866.08","2,820.73",58.43M,-2.14%
"Mar 31, 2020","2,901.58","2,863.64","2,930.23","2,856.53",70.06M,2.64%
"Mar 30, 2020","2,826.94","2,854.22","2,854.22","2,755.29",52.01M,-1.25%
"Mar 27, 2020","2,862.79","2,932.17","2,946.85","2,802.99",49.28M,-4.71%
"Mar 26, 2020","3,004.43","2,853.09","3,004.43","2,839.00",42.32M,2.90%
"Mar 25, 2020","2,919.65","2,980.73","3,036.32","2,826.68",59.71M,1.82%
"Mar 24, 2020","2,867.59","2,794.77","2,867.59","2,781.20",60.55M,7.64%
"Mar 23, 2020","2,664.10","2,675.76","2,742.39","2,631.05",69.06M,-3.87%
"Mar 20, 2020","2,771.49","2,761.12","2,856.23","2,735.94",118.51M,5.14%
"Mar 19, 2020","2,636.02","2,631.19","2,720.44","2,565.42",70.94M,2.32%
"Mar 18, 2020","2,576.21","2,517.10","2,597.90","2,511.50",66.13M,1.88%
"Mar 17, 2020","2,528.77","2,635.01","2,639.16","2,426.72",82.12M,-0.27%
"Mar 16, 2020","2,535.58","2,622.50","2,622.81","2,406.75",88.59M,-7.22%
"Mar 13, 2020","2,732.80","2,795.70","2,950.36","2,701.78",101.73M,1.18%
"Mar 12, 2020","2,701.00","3,020.11","3,030.35","2,697.94",97.83M,-14.21%
"Mar 11, 2020","3,148.41","3,210.70","3,264.70","3,130.02",65.21M,-0.23%
"Mar 10, 2020","3,155.60","3,217.77","3,344.80","3,138.75",71.86M,-0.61%
"Mar 09, 2020","3,174.81","3,248.83","3,292.21","3,169.13",88.25M,-7.58%
"Mar 06, 2020","3,435.09","3,477.85","3,491.50","3,394.45",53.51M,-3.10%
"Mar 05, 2020","3,544.83","3,641.62","3,641.62","3,519.31",53.83M,-1.48%
"Mar 04, 2020","3,597.98","3,578.04","3,635.23","3,559.06",56.26M,0.64%
"Mar 03, 2020","3,575.13","3,611.08","3,649.14","3,568.78",51.00M,1.47%
"Mar 02, 2020","3,523.24","3,562.52","3,605.65","3,452.99",56.34M,0.99%
"Feb 28, 2020","3,488.60","3,534.90","3,550.84","3,439.90",73.76M,-4.15%
"Feb 27, 2020","3,639.51","3,732.55","3,747.36","3,603.35",52.58M,-4.98%
"Feb 26, 2020","3,830.34","3,789.83","3,841.19","3,686.72",44.54M,0.05%
"Feb 25, 2020","3,828.40","3,926.84","3,946.88","3,828.40",39.07M,-2.28%
"Feb 24, 2020","3,917.64","3,982.01","3,987.43","3,896.17",41.66M,-3.94%
"Feb 21, 2020","4,078.44","4,095.41","4,101.27","4,063.14",31.74M,-0.99%
"Feb 20, 2020","4,119.04","4,143.18","4,165.00","4,119.04",34.27M,-0.49%
"Feb 19, 2020","4,139.26","4,158.61","4,162.94","4,134.58",45.43M,-0.61%
"Feb 18, 2020","4,164.50","4,173.12","4,184.95","4,147.78",22.91M,-0.81%
"Feb 17, 2020","4,198.31","4,188.82","4,201.35","4,188.08",10.72M,0.31%
"Feb 14, 2020","4,185.44","4,185.33","4,198.05","4,180.59",15.51M,0.06%
"Feb 13, 2020","4,182.78","4,172.74","4,182.78","4,126.96",22.58M,-0.04%
"Feb 12, 2020","4,184.27","4,150.09","4,184.27","4,146.61",25.18M,0.77%
"Feb 11, 2020","4,152.30","4,121.67","4,156.80","4,121.67",24.99M,1.23%
"Feb 10, 2020","4,101.80","4,083.55","4,102.79","4,076.21",17.58M,0.16%
