Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","70,967","73,011","73,011","69,569",10.09M,-2.81%
"Mar 31, 2020","73,020","74,629","75,511","72,385",11.14M,-2.17%
"Mar 30, 2020","74,639","73,431","75,430","73,184",9.03M,1.65%
"Mar 27, 2020","73,429","77,708","77,708","73,057",10.30M,-5.51%
"Mar 26, 2020","77,710","74,956","78,846","74,923",12.76M,3.67%
"Mar 25, 2020","74,956","69,727","76,714","69,360",12.95M,7.50%
"Mar 24, 2020","69,729","63,604","71,535","63,604",11.68M,9.69%
"Mar 23, 2020","63,570","67,067","67,604","62,161",11.96M,-5.22%
"Mar 20, 2020","67,069","68,344","72,247","66,120",15.15M,-1.85%
"Mar 19, 2020","68,332","66,883","70,071","61,691",16.14M,2.15%
"Mar 18, 2020","66,895","74,576","74,576","63,547",16.75M,-10.35%
"Mar 17, 2020","74,617","71,178","77,255","70,783",14.95M,4.85%
"Mar 16, 2020","71,168","82,565","82,565","70,855",12.85M,-13.92%
"Mar 13, 2020","82,678","72,621","83,758","72,621",15.77M,13.91%
"Mar 12, 2020","72,583","85,103","85,103","68,488",12.01M,-14.78%
"Mar 11, 2020","85,171","92,202","92,202","80,796",11.79M,-7.64%
"Mar 10, 2020","92,214","86,071","92,230","86,071",13.53M,7.14%
"Mar 09, 2020","86,067","97,982","97,982","85,880",14.65M,-12.17%
"Mar 06, 2020","97,997","102,231","102,231","96,886",11.86M,-4.14%
"Mar 05, 2020","102,233","107,217","107,217","100,536",8.60M,-4.65%
"Mar 04, 2020","107,224","105,540","107,809","105,042",8.41M,1.60%
"Mar 03, 2020","105,537","106,630","108,804","104,405",9.39M,-1.02%
"Mar 02, 2020","106,625","104,260","107,220","103,779",8.86M,2.36%
"Feb 28, 2020","104,172","102,984","104,172","99,951",11.23M,1.15%
"Feb 27, 2020","102,984","105,711","106,656","102,984",11.24M,-2.59%
"Feb 26, 2020","105,718","113,647","113,647","105,053",9.37M,-7.00%
"Feb 21, 2020","113,681","114,585","114,585","112,661",5.90M,-0.79%
"Feb 20, 2020","114,586","116,518","116,552","114,379",6.79M,-1.66%
"Feb 19, 2020","116,518","114,982","116,545","114,774",6.33M,1.34%
"Feb 18, 2020","114,977","115,309","115,309","113,532",5.55M,-0.29%
"Feb 17, 2020","115,309","114,381","115,696","114,381",4.36M,0.81%
"Feb 14, 2020","114,381","115,663","115,663","114,132",5.34M,-1.11%
"Feb 13, 2020","115,662","116,660","116,660","114,801",5.64M,-0.87%
"Feb 12, 2020","116,674","115,371","117,581","115,371",8.16M,1.13%
"Feb 11, 2020","115,371","112,574","115,576","112,574",6.77M,2.49%
"Feb 10, 2020","112,570","113,771","114,176","112,134",7.49M,-1.05%
"Feb 07, 2020","113,770","115,190","115,190","113,769",6.59M,-1.23%
"Feb 06, 2020","115,190","116,033","117,382","114,723",7.38M,-0.72%
"Feb 05, 2020","116,028","115,563","117,701","115,562",7.17M,0.41%
"Feb 04, 2020","115,557","114,631","116,556","114,631",5.83M,0.81%
"Feb 03, 2020","114,629","113,761","115,299","113,467",5.51M,0.76%
"Jan 31, 2020","113,761","115,518","115,518","113,148",6.22M,-1.53%
"Jan 30, 2020","115,528","115,375","115,528","112,825",6.32M,0.12%
"Jan 29, 2020","115,385","116,494","117,171","115,164",5.10M,-0.94%
"Jan 28, 2020","116,479","114,482","116,797","114,475",5.23M,1.74%
"Jan 27, 2020","114,482","118,347","118,347","114,376",6.10M,-3.29%
"Jan 24, 2020","118,376","119,528","119,593","118,108",4.78M,-0.96%
"Jan 23, 2020","119,528","118,391","119,535","116,906",6.57M,0.96%
"Jan 22, 2020","118,391","117,035","118,401","117,035",5.77M,1.17%
"Jan 21, 2020","117,026","118,861","118,861","117,026",5.09M,-1.54%
"Jan 20, 2020","118,862","118,478","118,862","117,928",3.84M,0.32%
"Jan 17, 2020","118,478","116,710","118,479","116,710",4.95M,1.52%
"Jan 16, 2020","116,704","116,415","117,106","115,961",5.42M,0.25%
"Jan 15, 2020","116,414","117,632","117,632","116,188",5.57M,-1.04%
"Jan 14, 2020","117,632","117,325","117,705","116,610",5.36M,0.26%
"Jan 13, 2020","117,325","115,503","117,333","115,503",5.69M,1.58%
"Jan 10, 2020","115,503","115,948","116,745","114,952",4.78M,-0.38%
"Jan 09, 2020","115,947","116,248","116,820","115,411",5.95M,-0.26%
"Jan 08, 2020","116,247","116,667","117,335","115,693",5.91M,-0.36%
"Jan 07, 2020","116,662","116,872","117,076","115,965",4.85M,-0.18%
"Jan 06, 2020","116,878","117,707","117,707","116,269",6.57M,-0.70%
"Jan 03, 2020","117,707","118,564","118,792","117,341",6.83M,-0.73%
"Jan 02, 2020","118,573","115,652","118,573","115,649",5.16M,2.53%
"Dec 30, 2019","115,645","116,530","117,086","115,599",3.67M,-0.76%
"Dec 27, 2019","116,534","117,205","117,803","115,995",3.91M,-0.57%
"Dec 26, 2019","117,203","115,864","117,220","115,673",3.79M,1.16%
"Dec 23, 2019","115,863","115,119","115,863","114,964",4.00M,0.64%
"Dec 20, 2019","115,121","115,133","115,171","114,526",6.89M,-0.01%
"Dec 19, 2019","115,131","114,313","115,132","113,712",5.78M,0.71%
"Dec 18, 2019","114,315","112,618","114,339","112,300",7.94M,1.51%
"Dec 17, 2019","112,616","111,897","112,695","111,897",5.35M,0.64%
"Dec 16, 2019","111,896","112,565","113,197","111,896",6.08M,-0.59%
"Dec 13, 2019","112,565","112,205","112,829","111,780",7.71M,0.33%
"Dec 12, 2019","112,200","110,963","112,445","110,963",5.68M,1.11%
"Dec 11, 2019","110,964","110,672","111,227","110,530",5.15M,0.26%
"Dec 10, 2019","110,672","110,973","111,184","110,133",4.76M,-0.28%
"Dec 09, 2019","110,977","111,125","111,453","110,870",4.99M,-0.13%
"Dec 06, 2019","111,126","110,623","111,430","110,623",4.97M,0.46%
"Dec 05, 2019","110,622","110,297","111,073","110,008",4.40M,0.29%
"Dec 04, 2019","110,301","108,962","110,301","108,962",4.89M,1.23%
"Dec 03, 2019","108,956","108,931","109,198","108,190",5.22M,0.03%
"Dec 02, 2019","108,928","108,233","109,279","108,233",4.71M,0.64%
