ïcountry,index,week,closingprice,index1,baseyear,week1,rel_closingprice
Netherlands,AEX,10/01/2020,750.96997,AEX,1,10/01/2020,1
Netherlands,AEX,17/01/2020,759.01001,AEX,,17/01/2020,1.0107062
Netherlands,AEX,24/01/2020,744.17999,AEX,,24/01/2020,.98046136
Netherlands,AEX,31/01/2020,712.98999,AEX,,31/01/2020,.9580881
Netherlands,AEX,07/02/2020,749.95001,AEX,,07/02/2020,1.051838
Netherlands,AEX,14/02/2020,750.12,AEX,,14/02/2020,1.0002266
Netherlands,AEX,21/02/2020,743.59998,AEX,,21/02/2020,.99130803
Netherlands,AEX,28/02/2020,669.40002,AEX,,28/02/2020,.90021521
Netherlands,AEX,06/03/2020,660.95001,AEX,,06/03/2020,.98737675
Netherlands,AEX,13/03/2020,563.89001,AEX,,13/03/2020,.85315078
Netherlands,AEX,20/03/2020,562.89001,AEX,,20/03/2020,.99822658
Netherlands,AEX,27/03/2020,590.62,AEX,,27/03/2020,1.0492636
Netherlands,AEX,03/04/2020,583.90997,AEX,,03/04/2020,.988639
Netherlands,AEX,10/04/2020,627.15997,AEX,,10/04/2020,1.0740696
Netherlands,AEX,17/04/2020,621.67999,AEX,,17/04/2020,.99126226
Netherlands,AEX,24/04/2020,623.83002,AEX,,24/04/2020,1.0034584
Netherlands,AEX,01/05/2020,640.90002,AEX,,01/05/2020,1.0273632
Netherlands,AEX,08/05/2020,647.71997,AEX,,08/05/2020,1.0106412
Netherlands,AEX,15/05/2020,643.08002,AEX,,15/05/2020,.99283648
Netherlands,AEX,22/05/2020,672.59003,AEX,,22/05/2020,1.0458885
Netherlands,AEX,29/05/2020,684.98999,AEX,,29/05/2020,1.0184362
Netherlands,AEX,05/06/2020,726.17999,AEX,,05/06/2020,1.0601323
Australia,ASX,10/01/2020,43.419998,ASX,1,10/01/2020,1
Australia,ASX,17/01/2020,44.450001,ASX,,17/01/2020,1.0237218
Australia,ASX,24/01/2020,44.619999,ASX,,24/01/2020,1.0038245
Australia,ASX,31/01/2020,43.43,ASX,,31/01/2020,.97333038
Australia,ASX,07/02/2020,44.240002,ASX,,07/02/2020,1.0186508
Australia,ASX,14/02/2020,42.32,ASX,,14/02/2020,.95660031
Australia,ASX,21/02/2020,41.57,ASX,,21/02/2020,.98227787
Australia,ASX,28/02/2020,37.639999,ASX,,28/02/2020,.90546066
Australia,ASX,06/03/2020,37.82,ASX,,06/03/2020,1.0047822
Australia,ASX,13/03/2020,35.740002,ASX,,13/03/2020,.94500268
Australia,ASX,20/03/2020,35.93,ASX,,20/03/2020,1.0053161
Australia,ASX,27/03/2020,35.900002,ASX,,27/03/2020,.99916506
Australia,ASX,03/04/2020,37.98,ASX,,03/04/2020,1.0579387
Australia,ASX,10/04/2020,40.560001,ASX,,10/04/2020,1.0679306
Australia,ASX,17/04/2020,42.259998,ASX,,17/04/2020,1.0419132
Australia,ASX,24/04/2020,42.07,ASX,,24/04/2020,.99550408
Australia,ASX,01/05/2020,40.950001,ASX,,01/05/2020,.9733777
Australia,ASX,08/05/2020,43.310001,ASX,,08/05/2020,1.0576313
Australia,ASX,15/05/2020,43.650002,ASX,,15/05/2020,1.0078504
Australia,ASX,22/05/2020,45.189999,ASX,,22/05/2020,1.0352806
Australia,ASX,29/05/2020,47.619999,ASX,,29/05/2020,1.0537729
Australia,ASX,05/06/2020,47.889999,ASX,,05/06/2020,1.00567
Austria,ATX,10/01/2020,2741.3899,ATX,1,10/01/2020,1
Austria,ATX,17/01/2020,2704.25,ATX,,17/01/2020,.98645216
Austria,ATX,24/01/2020,2651.6101,ATX,,24/01/2020,.98053437
Austria,ATX,31/01/2020,2583.77,ATX,,31/01/2020,.97441554
Austria,ATX,07/02/2020,2671.3799,ATX,,07/02/2020,1.0339078
Austria,ATX,14/02/2020,2666.8101,ATX,,14/02/2020,.99828935
Austria,ATX,21/02/2020,2633.1299,ATX,,21/02/2020,.98737061
Austria,ATX,28/02/2020,2397.1101,ATX,,28/02/2020,.91036528
Austria,ATX,06/03/2020,2262.3301,ATX,,06/03/2020,.94377393
Austria,ATX,13/03/2020,1809.9,ATX,,13/03/2020,.80001587
Austria,ATX,20/03/2020,1735.51,ATX,,20/03/2020,.95889825
Austria,ATX,27/03/2020,1786.73,ATX,,27/03/2020,1.0295129
Austria,ATX,03/04/2020,1732.22,ATX,,03/04/2020,.96949172
Austria,ATX,10/04/2020,1917.98,ATX,,10/04/2020,1.1072382
Austria,ATX,17/04/2020,1801.25,ATX,,17/04/2020,.93913913
Austria,ATX,24/04/2020,1832.17,ATX,,24/04/2020,1.0171659
Austria,ATX,01/05/2020,1956.54,ATX,,01/05/2020,1.0678812
Austria,ATX,08/05/2020,1962.77,ATX,,08/05/2020,1.0031842
