Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","3,992.69","4,002.41","4,021.16","3,952.20",112.54M,-1.89%
"Mar 31, 2020","4,069.55","4,021.10","4,098.86","3,988.46",126.09M,2.17%
"Mar 30, 2020","3,983.24","3,932.07","3,983.86","3,848.45",83.30M,1.02%
"Mar 27, 2020","3,942.86","3,968.65","4,014.04","3,897.99",91.63M,-1.76%
"Mar 26, 2020","4,013.65","3,912.72","4,013.65","3,886.36",107.07M,1.47%
"Mar 25, 2020","3,955.62","4,016.76","4,151.94","3,850.65",191.24M,1.91%
"Mar 24, 2020","3,881.64","3,718.38","3,881.64","3,694.85",155.36M,7.82%
"Mar 23, 2020","3,600.00","3,554.70","3,613.67","3,500.02",129.02M,-1.91%
"Mar 20, 2020","3,670.00","3,699.20","3,766.69","3,658.99",218.18M,2.06%
"Mar 19, 2020","3,596.08","3,693.95","3,736.91","3,580.21",147.54M,-1.26%
"Mar 18, 2020","3,641.80","3,806.10","3,862.21","3,619.81",161.30M,-5.03%
"Mar 17, 2020","3,834.87","3,809.42","3,835.05","3,638.58",179.35M,4.49%
"Mar 16, 2020","3,670.03","3,634.95","3,710.78","3,547.01",175.42M,-4.36%
"Mar 13, 2020","3,837.38","3,895.57","4,130.94","3,811.39",206.78M,0.83%
"Mar 12, 2020","3,805.92","4,039.44","4,069.09","3,784.30",200.14M,-9.76%
"Mar 11, 2020","4,217.44","4,297.56","4,339.19","4,195.72",144.25M,-0.47%
"Mar 10, 2020","4,237.23","4,326.43","4,494.22","4,232.89",217.04M,-0.69%
"Mar 09, 2020","4,266.88","4,460.92","4,475.76","4,257.79",196.37M,-8.66%
"Mar 06, 2020","4,671.50","4,748.26","4,766.97","4,649.58",137.39M,-3.85%
"Mar 05, 2020","4,858.80","4,989.77","4,989.77","4,840.83",103.00M,-2.20%
"Mar 04, 2020","4,967.93","4,914.33","5,002.90","4,897.96",81.73M,1.59%
"Mar 03, 2020","4,890.02","4,897.31","4,963.24","4,862.37",116.40M,1.53%
"Mar 02, 2020","4,816.12","4,882.59","4,899.95","4,707.24",129.68M,1.06%
"Feb 28, 2020","4,765.73","4,799.41","4,847.95","4,731.98",130.61M,-3.76%
"Feb 27, 2020","4,952.15","5,033.00","5,064.42","4,905.28",104.21M,-3.10%
"Feb 26, 2020","5,110.34","5,044.93","5,129.95","4,962.90",114.59M,0.63%
"Feb 25, 2020","5,078.36","5,233.34","5,240.28","5,078.00",90.75M,-2.28%
"Feb 24, 2020","5,197.09","5,298.63","5,300.58","5,184.94",91.11M,-3.53%
"Feb 21, 2020","5,387.00","5,424.71","5,424.71","5,345.77",51.33M,-0.45%
"Feb 20, 2020","5,411.21","5,451.76","5,454.21","5,411.21",52.89M,-0.45%
"Feb 19, 2020","5,435.85","5,401.60","5,440.88","5,388.99",46.58M,0.87%
"Feb 18, 2020","5,389.13","5,372.50","5,401.28","5,372.50",36.12M,-0.15%
"Feb 17, 2020","5,397.46","5,369.86","5,402.93","5,369.86",25.56M,1.30%
"Feb 14, 2020","5,328.34","5,331.45","5,363.49","5,320.30",32.70M,-0.07%
"Feb 13, 2020","5,331.96","5,303.82","5,331.96","5,289.04",57.30M,0.32%
"Feb 12, 2020","5,314.94","5,330.67","5,333.90","5,302.70",42.42M,-0.46%
"Feb 11, 2020","5,339.48","5,299.28","5,356.54","5,293.38",59.23M,1.09%
