Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","33,691.88","34,098.86","34,118.00","33,443.52",209.11M,-2.50%
"Mar 31, 2020","34,554.53","34,239.11","35,208.02","34,074.58",377.85M,1.04%
"Mar 30, 2020","34,199.97","33,978.74","34,334.44","33,978.74",164.06M,1.18%
"Mar 27, 2020","33,799.49","34,951.31","35,043.40","33,720.15",270.72M,-5.34%
"Mar 26, 2020","35,706.57","35,517.91","36,655.23","35,493.95",223.23M,0.48%
"Mar 25, 2020","35,536.70","34,547.58","36,493.90","34,369.48",211.80M,2.81%
"Mar 24, 2020","34,565.71","33,435.12","35,148.09","33,435.12",246.84M,4.86%
"Mar 23, 2020","32,964.22","34,481.30","34,721.68","32,646.96",186.60M,-3.81%
"Mar 20, 2020","34,269.51","35,284.70","35,456.48","33,894.97",703.95M,-2.49%
"Mar 19, 2020","35,143.63","35,566.42","35,576.91","34,213.28",232.08M,-1.10%
"Mar 18, 2020","35,532.74","36,096.76","37,180.56","35,439.94",293.11M,-3.61%
"Mar 17, 2020","36,862.84","36,660.13","37,070.57","34,775.23",495.33M,-3.21%
"Mar 13, 2020","38,085.05","37,487.68","38,258.90","37,248.02",281.97M,3.95%
"Mar 12, 2020","36,636.70","38,371.15","38,371.15","35,003.49",338.78M,-5.28%
"Mar 11, 2020","38,678.55","39,248.49","39,248.49","38,409.56",246.66M,-2.24%
"Mar 10, 2020","39,565.44","39,502.23","39,759.97","38,883.08",260.72M,2.16%
"Mar 09, 2020","38,730.56","40,101.87","40,265.37","38,646.37",206.51M,-6.42%
"Mar 06, 2020","41,388.78","42,134.15","42,134.15","41,201.67",167.49M,-2.26%
"Mar 05, 2020","42,344.86","43,263.75","43,279.57","42,136.08",142.96M,-2.44%
"Mar 04, 2020","43,404.76","42,711.71","43,462.27","42,711.71",157.32M,2.20%
"Mar 03, 2020","42,472.25","42,209.29","43,113.81","42,110.16",241.74M,0.72%
"Mar 02, 2020","42,167.24","41,391.09","42,347.46","41,373.87",267.18M,2.04%
"Feb 28, 2020","41,324.31","41,183.75","41,577.55","39,838.04",380.96M,-0.68%
"Feb 27, 2020","41,607.42","42,512.40","42,512.40","41,522.93",221.64M,-2.64%
"Feb 26, 2020","42,737.28","43,148.38","43,376.89","42,684.36",236.28M,-0.72%
"Feb 25, 2020","43,045.68","43,939.81","43,943.73","42,981.84",177.16M,-1.76%
"Feb 24, 2020","43,818.07","43,988.77","44,115.83","43,523.22",163.77M,-2.20%
"Feb 21, 2020","44,802.54","44,810.63","45,020.44","44,600.99",146.65M,0.06%
"Feb 20, 2020","44,774.54","44,956.46","45,050.62","44,580.69",182.72M,-0.28%
