Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","1,105.51","1,117.51","1,132.10","1,105.34",19.76B,-1.81%
"Mar 31, 2020","1,125.86","1,108.79","1,127.92","1,104.12",10.19B,3.50%
"Mar 30, 2020","1,087.82","1,087.35","1,094.12","1,073.37",7.53B,-1.09%
"Mar 27, 2020","1,099.76","1,112.83","1,124.28","1,089.14",9.92B,0.71%
"Mar 26, 2020","1,091.96","1,074.64","1,103.59","1,072.94",9.24B,1.10%
"Mar 25, 2020","1,080.03","1,063.23","1,099.94","1,050.72",10.39B,4.47%
"Mar 24, 2020","1,033.84","1,064.33","1,067.51","1,024.38",9.37B,0.92%
"Mar 23, 2020","1,024.46","1,045.65","1,065.67","1,022.83",8.90B,-9.12%
"Mar 20, 2020","1,127.24","1,077.65","1,133.56","1,070.05",12.29B,7.95%
"Mar 19, 2020","1,044.19","1,019.07","1,048.80","1,010.60",7.74B,-0.38%
"Mar 18, 2020","1,048.15","1,053.04","1,076.16","1,026.89",7.56B,1.25%
"Mar 17, 2020","1,035.17","1,045.09","1,068.85","1,035.16",8.76B,-1.04%
"Mar 16, 2020","1,046.08","1,072.30","1,105.20","1,043.79",9.80B,-7.34%
"Mar 13, 2020","1,128.91","1,008.06","1,164.16",969.08,17.37B,1.26%
"Mar 12, 2020","1,114.91","1,184.16","1,187.39","1,095.37",17.07B,-10.80%
"Mar 11, 2020","1,249.89","1,268.56","1,281.63","1,238.00",16.73B,-1.68%
"Mar 10, 2020","1,271.25","1,262.80","1,285.65","1,258.70",15.39B,1.22%
"Mar 09, 2020","1,255.94","1,272.95","1,299.77","1,249.31",20.00B,-7.96%
"Mar 06, 2020","1,364.57","1,373.19","1,374.20","1,359.75",17.49B,-1.89%
"Mar 05, 2020","1,390.83","1,391.35","1,408.35","1,390.83",19.92B,0.89%
"Mar 04, 2020","1,378.61","1,361.44","1,380.82","1,358.24",18.62B,0.26%
"Mar 03, 2020","1,375.02","1,357.72","1,380.39","1,352.22",18.41B,2.94%
"Mar 02, 2020","1,335.72","1,355.99","1,358.52","1,317.45",21.01B,-0.36%
"Feb 28, 2020","1,340.52","1,348.46","1,357.15","1,337.00",19.18B,-3.91%
"Feb 27, 2020","1,395.08","1,369.83","1,397.69","1,355.63",21.21B,2.10%
"Feb 26, 2020","1,366.41","1,425.56","1,428.35","1,366.41",25.42B,-5.05%
"Feb 25, 2020","1,439.10","1,436.24","1,446.63","1,416.40",23.47B,0.25%
"Feb 24, 2020","1,435.56","1,473.57","1,474.12","1,435.56",19.30B,-3.98%
"Feb 21, 2020","1,495.09","1,480.53","1,495.17","1,476.89",16.70B,0.26%
"Feb 20, 2020","1,491.24","1,504.48","1,504.95","1,484.51",17.80B,-0.95%
"Feb 19, 2020","1,505.54","1,517.78","1,523.61","1,501.74",17.88B,-0.54%
"Feb 18, 2020","1,513.68","1,521.00","1,522.33","1,510.52",14.87B,-0.89%
"Feb 17, 2020","1,527.25","1,528.48","1,532.87","1,523.74",16.81B,0.06%
"Feb 14, 2020","1,526.30","1,537.16","1,540.46","1,524.15",18.10B,-0.42%
"Feb 13, 2020","1,532.77","1,539.31","1,542.19","1,530.44",16.44B,-0.46%
"Feb 12, 2020","1,539.84","1,530.59","1,542.76","1,529.15",16.55B,1.04%
"Feb 11, 2020","1,523.93","1,538.31","1,539.43","1,522.97",16.47B,-0.74%
"Feb 07, 2020","1,535.24","1,536.28","1,539.36","1,527.34",18.66B,-0.04%
"Feb 06, 2020","1,535.79","1,538.29","1,541.81","1,530.51",21.03B,0.11%
"Feb 05, 2020","1,534.14","1,521.67","1,534.93","1,516.55",21.54B,0.97%
"Feb 04, 2020","1,519.38","1,501.34","1,520.10","1,499.21",17.78B,1.56%
"Feb 03, 2020","1,496.06","1,507.28","1,513.43","1,495.94",16.15B,-1.19%
"Jan 31, 2020","1,514.14","1,528.86","1,532.09","1,514.14",15.29B,-0.65%
"Jan 30, 2020","1,523.99","1,516.36","1,525.17","1,515.68",16.43B,-0.04%
"Jan 29, 2020","1,524.59","1,522.88","1,528.14","1,511.15",19.49B,0.75%
"Jan 28, 2020","1,513.26","1,519.55","1,535.23","1,507.36",19.84B,-0.71%
"Jan 27, 2020","1,524.15","1,546.90","1,548.11","1,519.03",20.08B,-2.89%
"Jan 24, 2020","1,569.55","1,575.07","1,576.68","1,567.07",15.38B,-0.26%
"Jan 23, 2020","1,573.70","1,570.66","1,577.92","1,567.10",16.85B,-0.06%
"Jan 22, 2020","1,574.59","1,579.25","1,580.34","1,566.86",19.60B,-0.02%
"Jan 21, 2020","1,574.94","1,584.17","1,587.85","1,573.26",20.57B,-0.89%
"Jan 20, 2020","1,589.11","1,597.50","1,598.70","1,586.73",18.03B,-0.71%
"Jan 17, 2020","1,600.48","1,600.28","1,604.28","1,595.96",18.76B,0.29%
"Jan 16, 2020","1,595.87","1,582.77","1,598.38","1,581.75",18.70B,0.94%
"Jan 15, 2020","1,581.05","1,582.96","1,587.77","1,575.98",19.54B,-0.37%
"Jan 14, 2020","1,586.90","1,589.68","1,592.84","1,579.83",19.13B,0.05%
"Jan 13, 2020","1,586.16","1,586.13","1,588.79","1,579.34",18.88B,0.35%
"Jan 10, 2020","1,580.63","1,583.48","1,584.16","1,573.80",16.98B,0.06%
"Jan 09, 2020","1,579.64","1,572.74","1,581.50","1,568.16",17.45B,1.31%
"Jan 08, 2020","1,559.27","1,569.82","1,572.03","1,555.75",19.79B,-1.64%
"Jan 07, 2020","1,585.23","1,578.52","1,585.44","1,570.04",20.38B,1.07%
"Jan 06, 2020","1,568.50","1,584.13","1,585.56","1,565.93",22.62B,-1.66%
"Jan 03, 2020","1,594.97","1,596.95","1,604.43","1,592.90",18.76B,-0.05%
"Jan 02, 2020","1,595.82","1,584.35","1,597.92","1,583.18",17.74B,1.01%
"Dec 30, 2019","1,579.84","1,581.05","1,583.86","1,575.92",8.44B,0.10%
"Dec 27, 2019","1,578.22","1,583.46","1,588.02","1,568.05",12.81B,-0.05%
"Dec 26, 2019","1,579.03","1,573.81","1,579.33","1,573.44",11.06B,0.38%
"Dec 25, 2019","1,573.00","1,566.59","1,574.41","1,564.85",10.00B,0.28%
"Dec 24, 2019","1,568.63","1,575.03","1,576.56","1,567.27",14.10B,-0.31%
"Dec 23, 2019","1,573.57","1,574.85","1,581.40","1,571.30",14.89B,0.04%
"Dec 20, 2019","1,572.92","1,572.61","1,576.43","1,566.77",17.13B,-0.04%
"Dec 19, 2019","1,573.51","1,558.80","1,576.50","1,552.88",21.68B,0.62%
"Dec 18, 2019","1,563.74","1,555.55","1,566.27","1,554.99",17.17B,0.97%
"Dec 17, 2019","1,548.65","1,551.71","1,556.82","1,543.22",20.39B,-0.07%
"Dec 16, 2019","1,549.74","1,572.64","1,573.41","1,549.69",18.16B,-1.54%
"Dec 13, 2019","1,573.91","1,577.38","1,582.16","1,570.07",18.73B,0.64%
"Dec 12, 2019","1,563.85","1,558.60","1,568.62","1,557.10",18.93B,0.78%
"Dec 11, 2019","1,551.82","1,555.38","1,559.19","1,546.51",17.67B,-0.07%
"Dec 09, 2019","1,552.96","1,559.84","1,559.93","1,548.01",17.70B,-0.39%
"Dec 06, 2019","1,558.99","1,571.10","1,575.79","1,558.50",16.45B,-0.41%
"Dec 04, 2019","1,565.45","1,562.22","1,570.39","1,556.51",21.73B,-0.14%
