Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","1,284.15","1,291.88","1,304.21","1,275.10",76.69M,-3.42%
"Mar 31, 2020","1,329.58","1,314.30","1,338.14","1,296.82",123.77M,2.54%
"Mar 30, 2020","1,296.64","1,281.44","1,296.64","1,267.83",82.57M,2.27%
"Mar 29, 2020","1,267.85","1,246.12","1,272.79","1,238.86",49.00M,-1.05%
"Mar 26, 2020","1,281.24","1,241.12","1,287.02","1,226.54",192.09M,3.02%
"Mar 25, 2020","1,243.70","1,276.78","1,283.41","1,224.63",115.24M,-0.85%
"Mar 24, 2020","1,254.36","1,218.22","1,264.69","1,211.78",91.47M,7.10%
"Mar 23, 2020","1,171.21","1,153.12","1,215.66","1,142.16",90.39M,-0.96%
"Mar 22, 2020","1,182.61","1,181.99","1,189.96","1,170.98",45.34M,-3.88%
"Mar 19, 2020","1,230.31","1,180.34","1,239.91","1,174.72",98.42M,4.09%
"Mar 18, 2020","1,181.97","1,212.07","1,222.83","1,181.97",77.04M,-6.70%
"Mar 17, 2020","1,266.84","1,275.88","1,275.88","1,218.66",91.74M,2.12%
"Mar 16, 2020","1,240.49","1,234.73","1,240.49","1,187.07",84.32M,-4.33%
"Mar 15, 2020","1,296.64","1,264.63","1,296.64","1,237.90",48.62M,3.60%
"Mar 12, 2020","1,251.56","1,241.80","1,260.39","1,201.70",150.65M,-5.18%
"Mar 11, 2020","1,319.90","1,358.17","1,401.42","1,313.22",103.25M,-3.58%
"Mar 09, 2020","1,368.87","1,372.75","1,404.84","1,331.70",125.63M,-6.53%
"Mar 08, 2020","1,464.57","1,476.01","1,491.47","1,433.94",87.63M,-4.78%
"Mar 05, 2020","1,538.09","1,565.98","1,568.96","1,525.60",124.96M,-1.76%
"Mar 04, 2020","1,565.65","1,591.87","1,593.54","1,553.55",62.59M,-2.08%
"Mar 03, 2020","1,598.85","1,624.96","1,627.93","1,595.74",63.55M,1.01%
"Mar 01, 2020","1,582.90","1,593.26","1,599.84","1,567.82",45.35M,-1.18%
"Feb 27, 2020","1,601.81","1,659.44","1,660.04","1,601.81",95.39M,-4.54%
"Feb 26, 2020","1,678.02","1,658.00","1,688.28","1,643.64",65.15M,0.25%
"Feb 25, 2020","1,673.82","1,679.08","1,687.53","1,655.63",33.00M,0.76%
"Feb 24, 2020","1,661.25","1,660.37","1,668.22","1,637.20",66.96M,-1.42%
"Feb 23, 2020","1,685.14","1,690.41","1,690.55","1,679.03",27.35M,-2.32%
"Feb 20, 2020","1,725.09","1,736.94","1,740.18","1,722.63",60.07M,-0.52%
"Feb 19, 2020","1,734.11","1,723.90","1,736.30","1,719.09",28.96M,1.17%
"Feb 18, 2020","1,714.02","1,709.34","1,715.55","1,705.56",30.44M,-0.80%
"Feb 17, 2020","1,727.83","1,736.93","1,740.83","1,725.15",28.23M,-0.16%
"Feb 16, 2020","1,730.58","1,725.92","1,738.23","1,725.40",14.66M,0.03%
"Feb 13, 2020","1,730.11","1,743.17","1,744.61","1,723.68",43.72M,-1.24%
"Feb 12, 2020","1,751.79","1,730.50","1,751.79","1,730.50",58.20M,1.11%
"Feb 11, 2020","1,732.56","1,723.53","1,733.71","1,716.97",66.19M,1.12%
"Feb 10, 2020","1,713.44","1,706.82","1,714.47","1,698.60",51.43M,0.61%
"Feb 09, 2020","1,702.97","1,720.21","1,721.02","1,702.77",24.80M,-1.39%
"Feb 06, 2020","1,727.06","1,731.62","1,731.62","1,722.31",131.38M,0.71%
"Feb 05, 2020","1,714.80","1,693.87","1,715.42","1,687.85",46.42M,1.42%
"Feb 04, 2020","1,690.87","1,674.91","1,690.87","1,674.83",77.40M,1.67%
"Feb 03, 2020","1,663.17","1,650.06","1,664.96","1,635.33",65.63M,1.25%
"Feb 02, 2020","1,642.63","1,663.35","1,665.04","1,624.47",47.32M,-2.85%
"Jan 30, 2020","1,690.88","1,688.16","1,692.61","1,682.82",111.58M,-0.61%
"Jan 29, 2020","1,701.33","1,698.47","1,709.03","1,697.04",52.13M,0.28%
"Jan 28, 2020","1,696.63","1,705.30","1,706.87","1,691.28",62.18M,0.05%
"Jan 27, 2020","1,695.74","1,709.66","1,711.71","1,687.63",62.36M,-1.41%
"Jan 26, 2020","1,719.96","1,722.61","1,724.00","1,716.43",32.90M,-0.92%
"Jan 23, 2020","1,735.88","1,736.33","1,742.09","1,730.52",57.55M,-0.20%
"Jan 22, 2020","1,739.34","1,731.90","1,742.80","1,731.89",33.99M,0.83%
"Jan 21, 2020","1,725.03","1,717.98","1,728.27","1,710.77",26.92M,0.06%
"Jan 20, 2020","1,724.00","1,723.89","1,725.95","1,719.49",30.02M,-0.10%
"Jan 19, 2020","1,725.81","1,721.41","1,726.39","1,718.46",22.16M,0.43%
"Jan 16, 2020","1,718.34","1,709.97","1,719.25","1,708.90",30.04M,0.72%
"Jan 15, 2020","1,706.10","1,698.77","1,706.10","1,696.69",49.40M,1.04%
"Jan 14, 2020","1,688.48","1,684.73","1,688.48","1,679.89",54.72M,0.55%
"Jan 13, 2020","1,679.29","1,678.18","1,681.11","1,673.50",58.79M,0.08%
"Jan 12, 2020","1,677.88","1,678.19","1,678.82","1,674.31",21.88M,-0.06%
"Jan 09, 2020","1,678.86","1,678.54","1,683.08","1,676.04",58.29M,0.15%
"Jan 08, 2020","1,676.39","1,672.62","1,678.10","1,666.79",87.79M,0.11%
"Jan 07, 2020","1,674.56","1,682.44","1,683.91","1,671.17",45.24M,-0.33%
"Jan 06, 2020","1,680.10","1,682.23","1,682.24","1,668.39",40.80M,-0.26%
"Jan 05, 2020","1,684.54","1,684.11","1,686.98","1,681.79",16.85M,-0.55%
"Jan 02, 2020","1,693.80","1,684.23","1,697.90","1,684.23",102.20M,0.49%
"Jan 01, 2020","1,685.50","1,685.79","1,689.01","1,683.48",27.61M,0.13%
"Dec 31, 2019","1,683.29","1,675.58","1,683.42","1,675.58",80.10M,0.49%
"Dec 30, 2019","1,675.10","1,682.17","1,687.36","1,675.10",95.29M,-0.33%
"Dec 29, 2019","1,680.72","1,682.20","1,684.43","1,678.71",21.09M,-0.28%
"Dec 26, 2019","1,685.49","1,684.06","1,687.55","1,680.99",154.04M,-0.37%
"Dec 25, 2019","1,691.79","1,689.85","1,701.74","1,689.74",47.02M,0.23%
"Dec 24, 2019","1,687.86","1,680.63","1,689.10","1,678.68",34.71M,0.66%
"Dec 23, 2019","1,676.87","1,683.83","1,684.95","1,669.86",58.33M,-0.39%
"Dec 22, 2019","1,683.45","1,686.88","1,687.95","1,683.25",16.31M,0.35%
"Dec 19, 2019","1,677.56","1,682.00","1,686.93","1,674.72",40.73M,-0.55%
"Dec 18, 2019","1,686.76","1,687.16","1,688.89","1,683.67",26.64M,-0.03%
"Dec 17, 2019","1,687.29","1,691.23","1,692.05","1,684.67",36.79M,-0.31%
"Dec 16, 2019","1,692.62","1,690.21","1,693.23","1,687.16",59.66M,0.24%
"Dec 15, 2019","1,688.49","1,689.58","1,695.27","1,687.51",18.97M,-0.18%
"Dec 12, 2019","1,691.56","1,685.53","1,692.40","1,681.38",53.31M,0.08%
"Dec 11, 2019","1,690.26","1,686.47","1,690.26","1,684.11",44.11M,0.14%
"Dec 10, 2019","1,687.89","1,687.50","1,688.47","1,677.81",37.37M,-0.01%
"Dec 09, 2019","1,688.14","1,688.15","1,689.05","1,683.34",30.08M,-0.02%
"Dec 08, 2019","1,688.47","1,688.90","1,690.30","1,685.14",16.72M,0.64%
"Dec 05, 2019","1,677.68","1,696.12","1,696.12","1,677.29",74.14M,-0.24%
"Dec 04, 2019","1,681.77","1,675.33","1,684.75","1,671.95",36.90M,0.55%
"Dec 03, 2019","1,672.51","1,684.80","1,688.08","1,668.45",38.14M,-0.81%
"Dec 02, 2019","1,686.14","1,699.13","1,699.85","1,683.57",30.65M,-0.52%
"Dec 01, 2019","1,694.91","1,699.98","1,703.18","1,693.13",12.72M,-0.45%
