Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","6,569.39","6,505.35","6,569.39","6,479.28",170.89M,0.98%
"Mar 31, 2020","6,505.35","6,373.29","6,529.26","6,396.27",219.73M,2.07%
"Mar 30, 2020","6,373.29","6,376.62","6,404.41","6,354.35",164.72M,-0.05%
"Mar 29, 2020","6,376.62","6,326.92","6,385.94","6,260.45",161.30M,0.79%
"Mar 26, 2020","6,326.92","6,208.65","6,326.92","6,254.81",146.67M,1.90%
"Mar 25, 2020","6,208.65","6,193.66","6,401.82","6,171.91",330.44M,0.24%
"Mar 24, 2020","6,193.66","5,990.23","6,213.22","6,095.29",204.97M,3.40%
"Mar 23, 2020","5,990.23","6,171.91","6,173.11","5,974.78",190.44M,-2.94%
"Mar 22, 2020","6,171.91","6,267.56","6,284.40","6,159.21",165.16M,-1.53%
"Mar 19, 2020","6,267.56","6,154.85","6,347.89","6,105.16",359.73M,1.83%
"Mar 18, 2020","6,154.85","6,107.05","6,235.30","6,097.61",226.12M,0.78%
"Mar 17, 2020","6,107.05","5,959.69","6,182.01","5,971.61",258.60M,2.47%
"Mar 16, 2020","5,959.69","6,287.36","6,184.37","5,959.69",253.77M,-5.21%
"Mar 15, 2020","6,287.36","6,357.06","6,497.71","6,287.36",211.46M,-1.10%
"Mar 12, 2020","6,357.06","6,552.49","6,456.65","6,178.07",255.98M,-2.98%
"Mar 11, 2020","6,552.49","6,762.03","6,828.11","6,492.32",282.57M,-3.10%
"Mar 10, 2020","6,762.03","6,315.51","6,779.43","6,486.95",345.46M,7.07%
"Mar 09, 2020","6,315.51","6,846.36","6,461.50","6,196.98",283.91M,-7.75%
"Mar 08, 2020","6,846.36","7,467.52","7,027.98","6,835.33",295.73M,-8.32%
"Mar 05, 2020","7,467.52","7,524.50","7,571.19","7,457.62",145.77M,-0.76%
"Mar 04, 2020","7,524.50","7,556.52","7,531.43","7,416.59",174.56M,-0.42%
"Mar 03, 2020","7,556.52","7,349.19","7,561.31","7,475.49",171.03M,2.82%
"Mar 02, 2020","7,349.19","7,345.10","7,561.90","7,349.19",198.26M,0.06%
"Mar 01, 2020","7,345.10","7,628.34","7,461.16","7,314.88",184.11M,-3.71%
"Feb 27, 2020","7,628.34","7,711.12","7,678.51","7,561.50",179.74M,-1.07%
"Feb 26, 2020","7,711.12","7,758.15","7,729.36","7,655.84",157.35M,-0.61%
"Feb 25, 2020","7,758.15","7,747.10","7,776.30","7,687.54",143.73M,0.14%
"Feb 24, 2020","7,747.10","7,982.95","7,965.56","7,745.51",181.57M,-2.95%
"Feb 23, 2020","7,982.95","8,007.39","8,015.03","7,953.81",122.26M,-0.31%
"Feb 20, 2020","8,007.39","7,967.60","8,031.02","7,975.18",147.73M,0.50%
"Feb 19, 2020","7,967.60","7,858.93","7,967.60","7,862.47",111.91M,1.38%
"Feb 18, 2020","7,858.93","7,872.55","7,877.64","7,845.24",96.87M,-0.17%
"Feb 17, 2020","7,872.55","7,836.96","7,895.61","7,843.56",99.23M,0.45%
"Feb 16, 2020","7,836.96","7,874.41","7,886.89","7,819.31",121.36M,-0.48%
"Feb 13, 2020","7,874.41","7,915.36","7,937.53","7,839.47",188.56M,-0.52%
"Feb 12, 2020","7,915.36","7,895.64","7,923.06","7,876.81",148.13M,0.25%
"Feb 11, 2020","7,895.64","7,971.93","7,956.38","7,895.64",136.60M,-0.96%
"Feb 10, 2020","7,971.93","7,952.52","7,979.68","7,919.58",120.65M,0.24%
"Feb 09, 2020","7,952.52","8,053.09","8,085.39","7,890.09",152.18M,-1.25%
"Feb 06, 2020","8,053.09","8,094.36","8,123.87","8,036.52",171.72M,-0.51%
"Feb 05, 2020","8,094.36","8,138.40","8,179.31","8,084.91",153.27M,-0.54%
"Feb 04, 2020","8,138.40","8,112.69","8,149.08","8,120.95",148.54M,0.32%
"Feb 03, 2020","8,112.69","8,157.51","8,194.73","8,112.69",151.23M,-0.55%
"Feb 02, 2020","8,157.51","8,246.59","8,187.98","8,138.62",157.67M,-1.08%
"Jan 30, 2020","8,246.59","8,185.51","8,255.41","8,166.76",145.69M,0.75%
"Jan 29, 2020","8,185.51","8,166.08","8,216.66","8,156.42",143.04M,0.24%
"Jan 28, 2020","8,166.08","8,178.47","8,206.14","8,153.03",133.75M,-0.15%
"Jan 27, 2020","8,178.47","8,326.97","8,335.20","8,178.47",174.69M,-1.78%
"Jan 26, 2020","8,326.97","8,386.35","8,360.52","8,319.22",175.17M,-0.71%
"Jan 23, 2020","8,386.35","8,428.21","8,412.60","8,356.32",181.02M,-0.50%
"Jan 22, 2020","8,428.21","8,445.33","8,470.57","8,428.21",170.02M,-0.20%
"Jan 21, 2020","8,445.33","8,469.71","8,465.72","8,431.01",174.82M,-0.29%
"Jan 20, 2020","8,469.71","8,449.29","8,473.50","8,437.69",174.43M,0.24%
"Jan 19, 2020","8,449.29","8,459.80","8,490.38","8,441.55",158.06M,-0.12%
"Jan 16, 2020","8,459.80","8,432.56","8,459.80","8,423.46",168.72M,0.32%
"Jan 15, 2020","8,432.56","8,474.81","8,480.85","8,432.56",217.03M,-0.50%
"Jan 14, 2020","8,474.81","8,441.14","8,479.35","8,419.82",206.94M,0.40%
"Jan 13, 2020","8,441.14","8,371.13","8,455.24","8,370.12",189.62M,0.84%
"Jan 12, 2020","8,371.13","8,345.77","8,406.23","8,358.88",168.53M,0.30%
"Jan 09, 2020","8,345.77","8,124.11","8,345.77","8,226.28",183.50M,2.73%
"Jan 08, 2020","8,124.11","8,198.97","8,169.16","8,076.79",160.90M,-0.91%
"Jan 07, 2020","8,198.97","8,206.13","8,269.31","8,181.94",143.52M,-0.09%
"Jan 06, 2020","8,206.13","8,193.72","8,210.81","8,123.91",157.83M,0.15%
"Jan 05, 2020","8,193.72","8,397.01","8,305.33","8,189.95",175.92M,-2.42%
"Jan 02, 2020","8,397.01","8,358.85","8,397.01","8,368.21",147.58M,0.46%
"Jan 01, 2020","8,358.85","8,389.23","8,389.86","8,354.95",146.53M,-0.36%
"Dec 31, 2019","8,389.23","8,345.01","8,389.23","8,323.89",156.03M,0.53%
"Dec 30, 2019","8,345.01","8,411.94","8,419.75","8,345.01",179.16M,-0.80%
"Dec 29, 2019","8,411.94","8,353.14","8,423.37","8,358.33",190.68M,0.70%
"Dec 26, 2019","8,353.14","8,342.79","8,370.23","8,316.75",155.85M,0.12%
"Dec 25, 2019","8,342.79","8,419.84","8,424.00","8,333.28",200.42M,-0.92%
"Dec 24, 2019","8,419.84","8,416.39","8,439.75","8,389.19",222.34M,0.04%
"Dec 23, 2019","8,416.39","8,300.73","8,416.39","8,303.94",219.69M,1.39%
"Dec 22, 2019","8,300.73","8,291.39","8,300.73","8,272.77",173.49M,0.11%
"Dec 19, 2019","8,291.39","8,253.43","8,307.85","8,223.73",294.00M,0.46%
"Dec 18, 2019","8,253.43","8,197.39","8,267.72","8,169.96",243.30M,0.68%
"Dec 17, 2019","8,197.39","8,138.99","8,197.39","8,130.05",281.27M,0.72%
"Dec 16, 2019","8,138.99","8,049.50","8,211.73","8,056.76",234.28M,1.11%
"Dec 15, 2019","8,049.50","8,005.77","8,100.40","8,023.60",194.84M,0.55%
"Dec 12, 2019","8,005.77","8,133.72","8,161.05","8,005.77",540.68M,-1.57%
"Dec 11, 2019","8,133.72","8,066.42","8,167.94","8,078.78",179.05M,0.83%
"Dec 10, 2019","8,066.42","8,120.01","8,132.86","8,066.42",107.85M,-0.66%
"Dec 09, 2019","8,120.01","8,098.74","8,209.32","8,112.32",160.57M,0.26%
"Dec 08, 2019","8,098.74","7,905.51","8,114.20","7,907.58",129.82M,2.44%
"Dec 05, 2019","7,905.51","7,871.20","7,924.94","7,845.77",94.27M,0.44%
"Dec 04, 2019","7,871.20","7,883.03","7,885.72","7,808.54",102.35M,-0.15%
"Dec 03, 2019","7,883.03","7,833.38","7,888.41","7,831.18",103.27M,0.63%
"Dec 02, 2019","7,833.38","7,901.93","7,916.51","7,827.66",80.78M,-0.87%
"Dec 01, 2019","7,901.93","7,859.06","7,910.63","7,859.16",62.06M,0.55%
