Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020","9,663.63","9,726.20","9,736.00","9,663.63",2.43B,-0.46%
"Mar 31, 2020","9,708.06","9,689.62","9,789.81","9,630.30",2.88B,0.82%
"Mar 30, 2020","9,629.43","9,571.22","9,655.70","9,415.52",2.27B,-0.72%
"Mar 27, 2020","9,698.92","9,807.90","9,954.86","9,691.14",3.35B,-0.38%
"Mar 26, 2020","9,736.36","9,667.14","9,739.73","9,565.02",2.80B,0.95%
"Mar 25, 2020","9,644.75","9,426.43","9,722.37","9,426.43",3.57B,3.87%
"Mar 24, 2020","9,285.62","9,083.78","9,415.64","9,083.78",2.92B,4.45%
"Mar 23, 2020","8,890.03","9,025.55","9,029.52","8,750.14",136.51M,-3.73%
"Mar 20, 2020","9,234.09","8,816.86","9,264.42","8,816.86",4.68B,6.37%
"Mar 19, 2020","8,681.34","9,085.28","9,085.28","8,523.63",5.70B,-5.83%
"Mar 18, 2020","9,218.67","9,453.98","9,509.61","9,218.67",3.99B,-2.34%
"Mar 17, 2020","9,439.63","9,538.64","9,677.07","9,371.35",4.50B,-2.86%
"Mar 16, 2020","9,717.77","10,069.42","10,130.80","9,717.77",3.78B,-4.06%
"Mar 13, 2020","10,128.87","10,091.03","10,171.20","9,636.15",5.91B,-2.82%
"Mar 12, 2020","10,422.32","10,845.39","10,845.39","10,359.67",4.84B,-4.33%
"Mar 11, 2020","10,893.75","11,022.82","11,088.23","10,885.91",2.80B,-1.00%
"Mar 10, 2020","11,003.54","10,907.62","11,032.47","10,830.22",3.54B,0.24%
"Mar 09, 2020","10,977.64","11,221.76","11,221.76","10,977.64",3.90B,-3.04%
"Mar 06, 2020","11,321.81","11,471.36","11,471.36","11,310.32",2.52B,-1.68%
"Mar 05, 2020","11,514.82","11,454.65","11,525.32","11,454.65",2.29B,1.08%
"Mar 04, 2020","11,392.35","11,368.25","11,392.35","11,297.81",2.25B,0.57%
"Mar 03, 2020","11,327.72","11,279.86","11,390.24","11,279.86",2.57B,1.41%
"Mar 02, 2020","11,170.46","11,184.66","11,282.05","11,049.85",3.20B,-1.08%
