Date,Price,Open,High,Low,Vol.,Change %
"Apr 01, 2020",628.79,609.35,631.6,606.03,73.25K,2.95%
"Mar 31, 2020",610.76,613.33,629.08,598.6,77.47K,-0.37%
"Mar 30, 2020",613.02,641.92,641.92,605,81.04K,-4.55%
"Mar 27, 2020",642.23,646.61,649.17,633.41,102.65K,-0.69%
"Mar 26, 2020",646.7,651.94,655.06,639.02,74.10K,-0.86%
"Mar 25, 2020",652.31,625.83,652.31,625.83,86.27K,4.30%
"Mar 24, 2020",625.43,632.63,633.97,619.07,85.90K,-1.17%
"Mar 23, 2020",632.86,671.05,671.05,628.46,81.06K,-6.06%
"Mar 20, 2020",673.7,679.78,683.55,668.9,81.17K,-0.86%
"Mar 19, 2020",679.55,699.35,699.35,669.04,73.19K,-3.01%
"Mar 18, 2020",700.65,699.73,705.3,695.42,77.44K,0.13%
"Mar 17, 2020",699.73,698,702.36,673.21,80.44K,0.22%
"Mar 16, 2020",698.18,716.65,716.65,688.8,74.03K,-2.58%
"Mar 13, 2020",716.65,715.34,722.3,674.36,113.47K,-0.36%
"Mar 12, 2020",719.21,757.9,757.9,710.33,113.24K,-5.14%
"Mar 11, 2020",758.16,789.75,795.98,746.83,99.25K,-3.97%
"Mar 10, 2020",789.51,782.85,794.88,762.34,90.06K,0.85%
"Mar 09, 2020",782.85,835.65,835.65,781.12,107.13K,-6.35%
"Mar 06, 2020",835.97,838.77,838.77,827.12,53.91K,-0.38%
"Mar 05, 2020",839.12,838.93,846.58,836.32,67.02K,0.13%
"Mar 04, 2020",837.99,838.02,839.26,831.2,52.99K,0.00%
"Mar 03, 2020",837.99,835.14,846.21,835.14,64.18K,0.31%
"Mar 02, 2020",835.42,831.25,837.99,827.23,69.31K,0.41%
"Feb 28, 2020",831.97,844.02,844.02,823.09,69.89K,-1.93%
"Feb 27, 2020",848.34,841.19,849.18,836.56,55.42K,0.79%
"Feb 26, 2020",841.68,849.56,849.56,837.52,54.64K,-0.93%
"Feb 25, 2020",849.58,836.54,849.58,827.81,69.29K,1.45%
"Feb 24, 2020",837.4,867.56,867.56,837.4,95.17K,-3.62%
"Feb 21, 2020",868.89,871.49,877.52,868.59,66.76K,-0.29%
"Feb 20, 2020",871.4,864,872.86,864,59.01K,0.88%
"Feb 19, 2020",863.84,860.23,865.4,859.65,52.57K,0.25%
"Feb 18, 2020",861.71,866.06,866.61,858.61,60.23K,-0.53%
"Feb 17, 2020",866.27,865.83,867.45,862.75,58.44K,0.05%
"Feb 14, 2020",865.86,865.03,868.84,863.14,74.65K,0.20%
"Feb 13, 2020",864.16,862.72,864.79,858.46,58.43K,0.11%
"Feb 12, 2020",863.23,856.64,870.1,856.64,80.78K,0.80%
"Feb 11, 2020",856.39,853.09,859.38,853.09,70.07K,0.41%
"Feb 10, 2020",852.87,863.28,863.28,848.21,46.86K,-1.23%
